Discriminator Loss,Generator Loss
-1.2877321428622361,-5.017316281804486
-1.2866827620721728,-5.010476261750639
-1.2878646750699965,-5.010068383440507
-1.2880555247731433,-4.965394524204122
-1.2874856208965375,-4.931207573280914
-1.2863905366124135,-4.905439584109658
-1.288270767268669,-4.926121306900344
-1.288112921953191,-4.921399037074906
-1.2877826734533473,-4.890758642270563
-1.2874082499520112,-4.880860447330548
-1.2867506413941479,-4.857479646060909
-1.2870650133289527,-4.8453903696474185
-1.2877492908618637,-4.823036734153915
-1.2868774273001637,-4.802431503954134
-1.2866955348943374,-4.78428489198486
-1.2874493439800518,-4.749671909880784
-1.2868700004657847,-4.750835971321437
-1.2859771823679287,-4.7395841692953065
-1.286304028935928,-4.746741237359172
-1.286841365868793,-4.738385755181918
-1.2861253697622401,-4.738725475417347
-1.2875663615771293,-4.755818838114937
-1.2867370105614981,-4.780284907993027
-1.2871543316461478,-4.78583894976673
-1.2874688564162515,-4.803676227681147
-1.2874048622355163,-4.814732890015343
-1.287456584080698,-4.8138583702538105
-1.287846002532131,-4.826694667478413
-1.287807967077564,-4.852420034747539
-1.2875438280328177,-4.8607217833180485
-1.2877179744758784,-4.886570050320442
-1.2870177229795843,-4.9087484726877655
-1.2870417649384238,-4.910919268758425
-1.2868119818950878,-4.934642505426319
-1.2871224546541502,-4.949275740212466
-1.2868818450893913,-4.925680456690098
-1.2865445432360134,-4.898228436905341
-1.2843340572044144,-4.839284542919931
-1.279218914124944,-4.593076310309907
-1.277793836724342,-4.46533755523956
-1.2787947725497617,-4.436332503048037
-1.278289650003795,-4.378085179190891
-1.2801732358406115,-4.323868737638359
-1.279207942855728,-4.262366511170088
-1.279738324904055,-4.228500204720764
-1.2802905034088816,-4.240495615326789
-1.280463193949841,-4.260789572952574
-1.2805541470295536,-4.305207379864987
-1.2827057858434177,-4.382261916317179
-1.2824358796629118,-4.5000455951907306
-1.2827810541958071,-4.584852500626199
-1.2824097833653447,-4.657700287796831
-1.2831048443766526,-4.732536590422005
-1.28293187069637,-4.802037867696006
-1.282094050597409,-4.845901811249961
-1.2835889295881147,-4.896417220790568
-1.2847431513513154,-4.926099076054383
-1.2855995416492185,-4.911379286090761
-1.286785821655063,-4.875776301195797
-1.2849420685217878,-4.8289077265288345
-1.2851200325138608,-4.769119724300219
-1.283944388465388,-4.767102943791667
-1.2844011301997027,-4.814526475769433
-1.284349830843352,-4.815576849997541
-1.284718728414528,-4.839849456462158
-1.2847652684261779,-4.907298498168994
-1.2851207233325572,-4.951231428842024
-1.286139038905836,-5.004710519345347
-1.286600778578337,-5.040517509194652
-1.2877018125461497,-5.039552519701365
-1.2885104947328891,-5.014528914296491
-1.2891585723333738,-4.994519259456853
-1.28695753030991,-4.96045537438796
-1.2873748126139695,-4.927606142239587
-1.2877857325212496,-4.876645991291656
-1.2892459573579218,-4.875337122955561
-1.2889966858593045,-4.831248008727199
-1.2886949748693615,-4.745984709989203
-1.2872577698003995,-4.701083720196347
-1.2874033303008434,-4.669904408830286
-1.2870416310807433,-4.636532271540082
-1.2874724509857858,-4.633665463900825
-1.286255173319522,-4.682075505102752
-1.286353059306285,-4.694831002097949
-1.286895111509332,-4.736993281022402
-1.2861584462799514,-4.755285055433464
-1.2860452916702647,-4.793552072502484
-1.2867232261686388,-4.825087443114312
-1.2854490483647671,-4.8626204559290835
-1.2867859609100367,-4.878596979198793
-1.2864668162539554,-4.877909679073367
-1.2865637821656837,-4.895019780641475
-1.286937853625721,-4.9229322223818714
-1.2867241122023074,-4.960203951336312
-1.2872999581541233,-4.984284213907538
-1.2881643662281343,-5.0191608251877815
-1.287747488033722,-5.055655635115325
-1.288056738037883,-5.081473243559629
-1.2878833205415778,-5.114734050196492
-1.2888258404521535,-5.147173316007402
-1.2888316313602541,-5.163843514501408
-1.2893433762959228,-5.167914878855216
-1.2890726388987133,-5.187937211516506
-1.289395602142653,-5.193567339624004
-1.288524717570057,-5.187767042369855
-1.2886195877096933,-5.169146891407899
-1.286523257284298,-5.143961478787825
-1.2864267541726424,-5.142012460536008
-1.2859348899009468,-5.160729407418247
-1.2858232248646186,-5.168030201547042
-1.2863049941125582,-5.17810715183313
-1.2866678675704428,-5.173432394904656
-1.2870743556843776,-5.177594130488537
-1.287382265173994,-5.182287424587775
-1.2871251849067629,-5.182325458912922
-1.2867540611737862,-5.196988359274797
-1.287309017623775,-5.209536330591898
-1.2876900715832722,-5.222651857707202
-1.2884899524166968,-5.246959862400645
-1.2901615569482303,-5.3019404628614994
-1.2898209897518995,-5.288770205434994
-1.2894343188591173,-5.288857700629809
-1.288475334401605,-5.3455138895049386
-1.287857925538891,-5.340799574550965
-1.286323440034426,-5.289295842456353
-1.2850660073371154,-5.23144777057207
-1.2844576295188679,-5.168821870957988
-1.2842223346615838,-5.125894914932384
-1.2832846712441601,-5.114357881456064
-1.2832081263974795,-5.100536166988413
